0	-65
0.025	-64.9995
0.05	-64.9992
0.075	-64.9989
0.1	-64.9986
0.125	-64.9984
0.15	-64.9981
0.175	-64.9979
0.2	-64.9977
0.225	-64.9975
0.25	-64.9973
0.275	-64.9971
0.3	-64.9969
0.325	-64.9968
0.35	-64.9966
0.375	-64.9964
0.4	-64.9962
0.425	-64.9961
0.45	-64.9959
0.475	-64.9958
0.5	-64.9956
0.525	-64.9954
0.55	-64.9953
0.575	-64.9951
0.6	-64.995
0.625	-64.9948
0.65	-64.9947
0.675	-64.9945
0.7	-64.9944
0.725	-64.9942
0.75	-64.9941
0.775	-64.994
0.8	-64.9938
0.825	-64.9937
0.85	-64.9936
0.875	-64.9934
0.9	-64.9933
0.925	-64.9931
0.95	-64.993
0.975	-64.9929
1	-64.9928
1.025	-64.9926
1.05	-64.9925
1.075	-64.9924
1.1	-64.9923
1.125	-64.9921
1.15	-64.992
1.175	-64.9919
1.2	-64.9918
1.225	-64.9916
1.25	-64.9915
1.275	-64.9914
1.3	-64.9913
1.325	-64.9912
1.35	-64.9911
1.375	-64.991
1.4	-64.9908
1.425	-64.9907
1.45	-64.9906
1.475	-64.9905
1.5	-64.9904
1.525	-64.9903
1.55	-64.9902
1.575	-64.9901
1.6	-64.99
1.625	-64.9899
1.65	-64.9898
1.675	-64.9897
1.7	-64.9896
1.725	-64.9895
1.75	-64.9894
1.775	-64.9893
1.8	-64.9892
1.825	-64.9891
1.85	-64.989
1.875	-64.9889
1.9	-64.9888
1.925	-64.9887
1.95	-64.9886
1.975	-64.9885
2	-64.9884
2.025	-64.9883
2.05	-64.9883
2.075	-64.9882
2.1	-64.9881
2.125	-64.988
2.15	-64.9879
2.175	-64.9878
2.2	-64.9877
2.225	-64.9877
2.25	-64.9876
2.275	-64.9875
2.3	-64.9874
2.325	-64.9873
2.35	-64.9873
2.375	-64.9872
2.4	-64.9871
2.425	-64.987
2.45	-64.9869
2.475	-64.9869
2.5	-64.9868
2.525	-64.9867
2.55	-64.9867
2.575	-64.9866
2.6	-64.9865
2.625	-64.9864
2.65	-64.9864
2.675	-64.9863
2.7	-64.9862
2.725	-64.9862
2.75	-64.9861
2.775	-64.986
2.8	-64.986
2.825	-64.9859
2.85	-64.9858
2.875	-64.9858
2.9	-64.9857
2.925	-64.9856
2.95	-64.9856
2.975	-64.9855
3	-64.9855
3.025	-64.9854
3.05	-64.9854
3.075	-64.9853
3.1	-64.9852
3.125	-64.9852
3.15	-64.9851
3.175	-64.9851
3.2	-64.985
3.225	-64.985
3.25	-64.9849
3.275	-64.9848
3.3	-64.9848
3.325	-64.9847
3.35	-64.9847
3.375	-64.9846
3.4	-64.9846
3.425	-64.9845
3.45	-64.9845
3.475	-64.9844
3.5	-64.9844
3.525	-64.9844
3.55	-64.9843
3.575	-64.9843
3.6	-64.9842
3.625	-64.9842
3.65	-64.9841
3.675	-64.9841
3.7	-64.984
3.725	-64.984
3.75	-64.9839
3.775	-64.9839
3.8	-64.9839
3.825	-64.9838
3.85	-64.9838
3.875	-64.9837
3.9	-64.9837
3.925	-64.9837
3.95	-64.9836
3.975	-64.9836
4	-64.9836
4.025	-64.9835
4.05	-64.9835
4.075	-64.9834
4.1	-64.9834
4.125	-64.9834
4.15	-64.9833
4.175	-64.9833
4.2	-64.9833
4.225	-64.9832
4.25	-64.9832
4.275	-64.9832
4.3	-64.9831
4.325	-64.9831
4.35	-64.9831
4.375	-64.983
4.4	-64.983
4.425	-64.983
4.45	-64.983
4.475	-64.9829
4.5	-64.9829
4.525	-64.9829
4.55	-64.9828
4.575	-64.9828
4.6	-64.9828
4.625	-64.9828
4.65	-64.9827
4.675	-64.9827
4.7	-64.9827
4.725	-64.9827
4.75	-64.9826
4.775	-64.9826
4.8	-64.9826
4.825	-64.9826
4.85	-64.9825
4.875	-64.9825
4.9	-64.9825
4.925	-64.9825
4.95	-64.9824
4.975	-64.9824
5	-64.9824
5.025	-60.8905
5.05	-57.8365
5.075	-55.3067
5.1	-53.0821
5.125	-51.0438
5.15	-49.1149
5.175	-47.2356
5.2	-45.352
5.225	-43.4091
5.25	-41.3459
5.275	-39.0916
5.3	-36.5611
5.325	-33.652
5.35	-30.2438
5.375	-26.2038
5.4	-21.4082
5.425	-15.7886
5.45	-9.40691
5.475	-2.53531
5.5	4.33443
5.525	7.50522
5.55	11.0576
5.575	14.0841
5.6	16.2962
5.625	17.6723
5.65	18.2998
5.675	18.2968
5.7	17.7768
5.725	16.8381
5.75	15.5619
5.775	14.0148
5.8	12.2518
5.825	10.3185
5.85	8.25341
5.875	6.08892
5.9	3.8527
5.925	1.56816
5.95	-0.744857
5.975	-3.06961
6	-5.39205
6.025	-7.70059
6.05	-9.98559
6.075	-12.2392
6.1	-14.4551
6.125	-16.6284
6.15	-18.7553
6.175	-20.833
6.2	-22.8597
6.225	-24.8345
6.25	-26.7574
6.275	-28.6289
6.3	-30.4505
6.325	-32.224
6.35	-33.9515
6.375	-35.6354
6.4	-37.2782
6.425	-38.8819
6.45	-40.448
6.475	-41.9773
6.5	-43.4697
6.525	-44.9237
6.55	-46.3368
6.575	-47.7054
6.6	-49.0249
6.625	-50.2904
6.65	-51.4966
6.675	-52.6387
6.7	-53.7132
6.725	-54.7174
6.75	-55.6506
6.775	-56.5133
6.8	-57.3076
6.825	-58.0369
6.85	-58.7053
6.875	-59.3174
6.9	-59.8781
6.925	-60.3923
6.95	-60.8645
6.975	-61.2991
7	-61.7
7.025	-62.0707
7.05	-62.4144
7.075	-62.7338
7.1	-63.0314
7.125	-63.3092
